target,abstractive_summary
"A new framework based variational inference for out-of-distribution detection Describes a probabilistic approach to quantifying uncertainty in DNN classification tasks that outperforms other SOTA methods in the task of out-of-distribution detection. A new framework for out-of-distribution detection, based on variaitonal inference and a prior Dirichlet distribution, that reports state of the art results on several datasets. An out-of distribution detection via a new method to approximate the confidence distribution of classification probability using variational inference of Dirichlet distribution.","A variational Dirichlet framework for deep neural network classification. This work introduces a new uncertainty metric for image classification that is more accurate than existing uncertainty measures. The study presents a new dataset-based uncertainty measure for deep learning, which can be used to detect out-of-distribution examples. The authors investigate the problem of over-concentration in deep neural networks in order to address the problem."
"Unsupervised methods for finding, analyzing, and controlling important neurons in NMT This paper presents unsupervised approaches to discovering important neurons in neural machine translation systems and analyzes linguistic properties controlled by those neurons. Unsupervised methods for ranking neurons in machine translation where important neurons are thus identified and used to control the MT output.","An unsupervised method for analyzing the contribution of individual neurons to language translation. This paper presents a novel translation control method for language translation that uses a combination of neural networks and a hierarchical model. The authors present a novel approach to interpret language translation using a hierarchical network architecture, and show that neural networks are more interpretable than non-linear models."
We provide a theoretical study of the properties of Deep circulant-diagonal ReLU Networks and demonstrate that they are bounded width universal approximators. The paper proposes using circulant and diagonal matrices to speed up computation and reduce memory requirements in eural networks. This work proves that bounded width diagonal-circulent ReLU networks (DC-ReLU) are universal approximators.,"A deep diagonal-circulant ReLU network that can be decomposed into 4k + 1 diagonal and circulant matrices. This work presents a new method for training deep neural networks that can approximate deep ReLU networks with low rank approximators. This article presents a method to train deep neural nets with high rank decomposition of the matrix A, which can be used to approximate deep RecLU networks."
"The most robust capacity for analogical reasoning is induced when networks learn analogies by contrasting abstract relational structures in their input domains. The paper investigates the ability of a neural network to learn analogy, showing that a simple neural network is able to solve certain analogy problems This study describes an approach to train neural networks for analogical reasoning tasks, specifically considering visual analogy and symbolic analogies.","A novel neural network architecture that can learn to make analogies with visual and symbolic inputs, but only if they are contrasted with alternative incorrect answers that are plausible at the level of relations rather than simple perceptual attributes. This work presents a novel approach to analogical reasoning in neural networks by proposing a new training regime for neural networks that is more naturalistic than human-like."
"We propose a deep Multi Instance Learning framework based on recurrent neural networks which uses pooling functions and attention mechanisms for the concept annotation tasks. The work addresses the classification of medical time-series data and proposes to model the temporal relationship between the instances in each series using a recurrent neural network architecture. Proposes a novel Multiple Instance Learning (MIL) formulation called Relation MIL (RMIL), and discussed a number of its variants with LSTM, Bi-LSTM, S2S, etc. and explores integrating RMIL with various attention mechanisms, and demonstrates its usage on medical concept prediction from time series data.",A novel concept annotation task for medical time series data. This work introduces a novel task of predicting and localizing medical concepts by modeling the medical time-series data as input. The study presents a novel method to predict and localize medical concepts based on a combination of machine learning and deep learning models.
"We demonstrate that by leveraging a multi-way output encoding, rather than the widely used one-hot encoding, we can make deep models more robust to adversarial attacks. This work proposes replacing the final cross-entropy layer trained on one-hot labels in classifiers by encoding each label as a high-dimensional vector and training the classifier to minimize L2 distance from the encoding of the correct class. Authors propose new method against adversarial attacks that shows significant amount of gains compared to baselines","A novel multi-way encoding method for binary classification that relaxes and improves the encoding dimensionality. This paper introduces a multi-direction encoding method to reduce the number of possible gradients in binary classification. The authors introduce a new encoding method, called 1of K, which reduces the likelihood of adversarial attacks on binary classification models by reducing the complexity of the encoding."
"We introduce Spherical CNNs, a convolutional network for spherical signals, and apply it to 3D model recognition and molecular energy regression. The paper proposes a framework for constructing spherical convolutional networks based on a novel synthesis of several existing concepts This article focuses on how to extend convolutional neural networks to have built-in spherical invariance, and adapts tools from non-Abelian harmonic analysis to achieve this goal. The authors develop a novel scheme for representing spherical data from the ground up","A spherical CNN that can detect patterns regardless of how they are rotated over the sphere. This article presents a new CNN for spherical signals that is equivariant to the rotation invariant properties of the sphere, and shows that it is more efficient than other CNNs. This work introduces a new class of CNNs, called spherical CNNs (S 2-CNNs), that can be used to detect patterns on the sphere and vice versa."
"Relational Forward Models for multi-agent learning make accurate predictions of agents' future behavior, they produce intepretable representations and can be used inside agents. A way of reducing variance in model free learning by having an explicit model, that uses a graph conv net-like architecture, of actions that other agents will take. Predicting multi-agent behavior using a relational forward model with a recurrent component, outperforming two baselines and two ablations","A deep reinforcement learning framework for understanding the dynamics of multi-agent systems. This work presents a novel approach to understanding the behavior of agents in multi-player games. The authors present an RFM module that learns to predict the actions of each agent in a game, and provide insights into the relational and social structures of the agents."
"We introduce a transparent middleware for neural network acceleration, with own compiler engine, achieving up to 11.8x speed up on CPUs and 2.3x on GPUs. This article proposes a transparent middleware layer for neural network acceleration and obtains some acceleration results on basic CPU and GPU architectures",Introduces a transparent middleware layer for neural network acceleration. This article introduces a new framework for deep neural networks acceleration that combines hardware-specific optimizations with deep learning frameworks. This work addresses the problem of optimizing neural networks on multiple hardware platforms by combining hardware and deep learning libraries. The authors introduce a new middleware framework for the optimization of both prediction and training of neural networks. This paper presents a method for optimizing neural network architectures on several hardware platforms
"Agents interact (speak, act) and can achieve goals in a rich world with diverse language, bridging the gap between chit-chat and goal-oriented dialogue. This article studies a multiagent dialog task in which the learning agent aims to generate natural language actions that elicit a particular action from the other agent, and shows RL-agents can achieve higher task completion levels than imitation learning baselines. This work explores the goal-oriented dialogue setting with reinforcement learning in a Fantasy Text Adventure Game and observes that the RL approaches outperform supervised learning models.","Real-time dialogue agents are trained to imitate human actions given a goal (a ""goal-oriented"" model). This work presents a novel approach to solving the problem of language drift in video game dialogue by using a large transformer architecture. The authors present a novel model of dialogue agents that can be used to learn to communicate with other agents in a multi-player setting."
