target,abstractive_summary
"A new framework based variational inference for out-of-distribution detection Describes a probabilistic approach to quantifying uncertainty in DNN classification tasks that outperforms other SOTA methods in the task of out-of-distribution detection. A new framework for out-of-distribution detection, based on variaitonal inference and a prior Dirichlet distribution, that reports state of the art results on several datasets. An out-of distribution detection via a new method to approximate the confidence distribution of classification probability using variational inference of Dirichlet distribution.","A variational Dirichlet algorithm for deep neural networks classification problem and define a higher-order uncertainty measure. This work presents a variational dirichlet framework for deep network classification problem, which can greatly widen the distance between in-and out-of-distribution data to achieve significant results on various datasets and architectures. The authors present a variable label-wise distribution generated from a lower-order distribution over the simplex S k"
"Unsupervised methods for finding, analyzing, and controlling important neurons in NMT This study presents unsupervised approaches to discovering important neurons in neural machine translation systems and analyzes linguistic properties controlled by those neurons. Unsupervised methods for ranking neurons in machine translation where important neurons are thus identified and used to control the MT output.",An unsupervised method for analyzing the contribution of individual neurons to NMT models. This work introduces a novel translation control technique that can be used to predict tokens inside/outside of parentheses by modifying the activation of the tense neurons from previous section TAB2. The authors present an unsupervised translation control approach for learning a combination of linguistically interpretable vectors and canonical correlation analysis (PCA) and SVCCA.
We provide a theoretical study of the properties of Deep circulant-diagonal ReLU Networks and demonstrate that they are bounded width universal approximators. The article proposes using circulant and diagonal matrices to speed up computation and reduce memory requirements in eural networks. This work proves that bounded width diagonal-circulent ReLU networks (DC-ReLU) are universal approximators.,"Using a deep neural network architecture that approximates the Johson-Lindenstrauss transform by replacing large weight matrices from fully connected layers with more compact circulant layers. This study introduces a method to replace the weight matrix of a fully connected layer with a circulant layer, which can be used for dimensionality reduction."
"The most robust capacity for analogical reasoning is induced when networks learn analogies by contrasting abstract relational structures in their input domains. The study investigates the ability of a neural network to learn analogy, showing that a simple neural network is able to solve certain analogy problems This paper describes an approach to train neural networks for analogical reasoning tasks, specifically considering visual analogy and symbolic analogies.","An analogy-like model that learns from random candidates is perceptually plausible, so that the problem can be solved trivially by matching the correct answer to one of the answers. This work studies the problem of contrasting abstract relational structures in neural network architectures using an analogy regime and a novel approach to interpolation. The authors present a model for neural network learning from random candidate answers which uses a link between the two domains."
"We propose a deep Multi Instance Learning framework based on recurrent neural networks which uses pooling functions and attention mechanisms for the concept annotation tasks. The paper addresses the classification of medical time-series data and proposes to model the temporal relationship between the instances in each series using a recurrent neural network architecture. Proposes a novel Multiple Instance Learning (MIL) formulation called Relation MIL (RMIL), and discussed a number of its variants with LSTM, Bi-LSTM, S2S, etc. and explores integrating RMIL with various attention mechanisms, and demonstrates its usage on medical concept prediction from time series data.","A new concept annotation task for medical time series data that can be used to predict and localize medical concepts. This work introduces a new concept-annotation task which can be applied to the medical data by generating medical information from the data. The authors address the problem of concept annotation for medical data, namely, when the data are not available or when the annotations are available they could be subjective and prone to human errors."
"We demonstrate that by leveraging a multi-way output encoding, rather than the widely used one-hot encoding, we can make deep models more robust to adversarial attacks. This work proposes replacing the final cross-entropy layer trained on one-hot labels in classifiers by encoding each label as a high-dimensional vector and training the classifier to minimize L2 distance from the encoding of the correct class. Authors propose new method against adversarial attacks that shows significant amount of gains compared to baselines","A multi-way encoding framework that obstructs the adversarial gradient search. This work introduces a new attack for a binary model watermarking algorithm, which trains a model to misclassify at the final encoder layer. The authors present a multi-directional attack for both the source and target models, and demonstrate the strength of the approach."
"We introduce Spherical CNNs, a convolutional network for spherical signals, and apply it to 3D model recognition and molecular energy regression. The article proposes a framework for constructing spherical convolutional networks based on a novel synthesis of several existing concepts This study focuses on how to extend convolutional neural networks to have built-in spherical invariance, and adapts tools from non-Abelian harmonic analysis to achieve this goal. The authors develop a novel scheme for representing spherical data from the ground up","A spherical CNN that can detect patterns regardless of how they are rotated over the sphere. This work introduces a new group correlation function on the Sphere, which acts naturally on the input space of the network. The paper presents a method for detecting patterns in a three-dimensional manifold called SO(3) 2 and provides a simple definition of the SenseCNN (S2 -CNN)."
"Relational Forward Models for multi-agent learning make accurate predictions of agents' future behavior, they produce intepretable representations and can be used inside agents. A way of reducing variance in model free learning by having an explicit model, that uses a graph conv net-like architecture, of actions that other agents will take. Predicting multi-agent behavior using a relational forward model with a recurrent component, outperforming two baselines and two ablations","A new model for multi-agent learning that predicts the forward dynamics of agents' systems, and provides insights into the relational and social structures present in the data. This work introduces a new algorithm to learn how agents interact with each other on a single agent basis, and presents a novel method for modeling agents' behavior as well as an analysis tool for characterizing their actions."
"We introduce a transparent middleware for neural network acceleration, with own compiler engine, achieving up to 11.8x speed up on CPUs and 2.3x on GPUs. This work proposes a transparent middleware layer for neural network acceleration and obtains some acceleration results on basic CPU and GPU architectures","This article introduces a transparent middleware layer for neural network acceleration, allowing one to combine device-specific libraries and custom optimizations while supporting numerous hardware devices. The authors address the problem of inference and inference in deep neural networks by using a compiler for deep learning that is transparent to the user and should support all hardware platforms and deep learning libraries."
"Agents interact (speak, act) and can achieve goals in a rich world with diverse language, bridging the gap between chit-chat and goal-oriented dialogue. This paper studies a multiagent dialog task in which the learning agent aims to generate natural language actions that elicit a particular action from the other agent, and shows RL-agents can achieve higher task completion levels than imitation learning baselines. This article explores the goal-oriented dialogue setting with reinforcement learning in a Fantasy Text Adventure Game and observes that the RL approaches outperform supervised learning models.","In the literature on artificial dialogue agents, a distinction is often made between ""goal-oriented"" dialogue, where an agent is tasked with filling slots or otherwise obtaining or disseminating specified information from the user to help complete a task, and ""chit-chat"". The authors present a cluster of human-written game actions that are trained to imitate human actions given a goal (an ""inverse model"")"
