target,abstractive_summary
"A new framework based variational inference for out-of-distribution detection Describes a probabilistic approach to quantifying uncertainty in DNN classification tasks that outperforms other SOTA methods in the task of out-of-distribution detection. A new framework for out-of-distribution detection, based on variaitonal inference and a prior Dirichlet distribution, that reports state of the art results on several datasets. An out-of distribution detection via a new method to approximate the confidence distribution of classification probability using variational inference of Dirichlet distribution.",A variational Dirichlet framework for deep neural network classification problem and a higher-order uncertainty measure. This work introduces a variational dirichlet algorithm to improve the accuracy of in-and out-of-distribution datasets by introducing a variable label-wise distribution P(y) over the simplex S k. The paper considers the image classification problem with image classification as x and output label as y.
"Unsupervised methods for finding, analyzing, and controlling important neurons in NMT This article presents unsupervised approaches to discovering important neurons in neural machine translation systems and analyzes linguistic properties controlled by those neurons. Unsupervised methods for ranking neurons in machine translation where important neurons are thus identified and used to control the MT output.",An unsupervised approach for analyzing the contribution of individual neurons to NMT models. This work introduces a novel translation control method for translating neural networks into a vector space using a combination of multiple vectors and canonical correlation analysis. The authors study the role of tense neurons in the translation of linguistically interpretable neural networks by modifying the activation of the active neurons from the previous section TAB2.
We provide a theoretical study of the properties of Deep circulant-diagonal ReLU Networks and demonstrate that they are bounded width universal approximators. The work proposes using circulant and diagonal matrices to speed up computation and reduce memory requirements in eural networks. This work proves that bounded width diagonal-circulent ReLU networks (DC-ReLU) are universal approximators.,A deep neural network architecture that can approximate a deep ReLU network in which the dense matrices are of low rank. This study studies the applicability of a Deep diagonal-circulant ReLU networks by showing that any matrix can be decomposed into products of bounded width and small depth is more useful than the one by Huhtanen & Perämäki because it can be used to approximate the first one.
"The most robust capacity for analogical reasoning is induced when networks learn analogies by contrasting abstract relational structures in their input domains. The paper investigates the ability of a neural network to learn analogy, showing that a simple neural network is able to solve certain analogy problems This article describes an approach to train neural networks for analogical reasoning tasks, specifically considering visual analogy and symbolic analogies.","A neural network that learns from contrasting abstract relational structures on an analogical problem by using an analogy-like model architecture. This study investigates the problem of semantically plausible relational representations in a neural network, and shows that it is more likely to be used to solve an ananalogical problems. The authors present a model for neural networks that learn from random candidates who choose incorrect answers from the same domain as the correct answer."
"We propose a deep Multi Instance Learning framework based on recurrent neural networks which uses pooling functions and attention mechanisms for the concept annotation tasks. The paper addresses the classification of medical time-series data and proposes to model the temporal relationship between the instances in each series using a recurrent neural network architecture. Proposes a novel Multiple Instance Learning (MIL) formulation called Relation MIL (RMIL), and discussed a number of its variants with LSTM, Bi-LSTM, S2S, etc. and explores integrating RMIL with various attention mechanisms, and demonstrates its usage on medical concept prediction from time series data.","An annotation task for medical time series data, i.e., to localize medical concepts. This work introduces the concept annotation task as the problem of predicting and localizing medical concepts by using the medical data as input. The authors present a method for generating medical information from medical data such as intubation, extubation and resuscitate."
"We demonstrate that by leveraging a multi-way output encoding, rather than the widely used one-hot encoding, we can make deep models more robust to adversarial attacks. This paper proposes replacing the final cross-entropy layer trained on one-hot labels in classifiers by encoding each label as a high-dimensional vector and training the classifier to minimize L2 distance from the encoding of the correct class. Authors propose new method against adversarial attacks that shows significant amount of gains compared to baselines","A deep encoding framework that obstructs the adversarial gradient search. This study introduces a multi-way attack for both the source and target models, and shows that it is more efficient than one-hot (1of K) attacks. This work presents a deep learning framework that can be used to determine the direction of an input from the input to the blue class, or vice versa."
"We introduce Spherical CNNs, a convolutional network for spherical signals, and apply it to 3D model recognition and molecular energy regression. The article proposes a framework for constructing spherical convolutional networks based on a novel synthesis of several existing concepts This study focuses on how to extend convolutional neural networks to have built-in spherical invariance, and adapts tools from non-Abelian harmonic analysis to achieve this goal. The authors develop a novel scheme for representing spherical data from the ground up","A spherical CNN that can detect patterns regardless of how they are rotated over the sphere. This work introduces a new neural network to detect patterns in a three-dimensional manifold called SO(3) 2. The authors present a method for detecting patterns in the space of moves for the plane, and show that it is possible to find patterns on the plane with a 3D translation."
"Relational Forward Models for multi-agent learning make accurate predictions of agents' future behavior, they produce intepretable representations and can be used inside agents. A way of reducing variance in model free learning by having an explicit model, that uses a graph conv net-like architecture, of actions that other agents will take. Predicting multi-agent behavior using a relational forward model with a recurrent component, outperforming two baselines and two ablations","A deep learning model for multi-agent systems with a rich and orderly structure that can be leveraged to understand these systems, and to improve how artificial agents learn to operate in them. This study introduces a deep learning framework for multiagent system modeling behavior of multiple agents, and uses it to predict the forward dynamics of each agent's system. The authors present an analysis tool for characterizing interactions between different agents"
"We introduce a transparent middleware for neural network acceleration, with own compiler engine, achieving up to 11.8x speed up on CPUs and 2.3x on GPUs. This paper proposes a transparent middleware layer for neural network acceleration and obtains some acceleration results on basic CPU and GPU architectures","This paper introduces a transparent middleware layer for neural network acceleration, allowing one to combine device-specific libraries and custom optimizations while supporting numerous hardware platforms. The authors address the problem of inference and inference in deep neural networks by using a compiler for deep learning frameworks, and show that it is transparent to the user and should support all hardware platforms and deep learning libraries."
"Agents interact (speak, act) and can achieve goals in a rich world with diverse language, bridging the gap between chit-chat and goal-oriented dialogue. This paper studies a multiagent dialog task in which the learning agent aims to generate natural language actions that elicit a particular action from the other agent, and shows RL-agents can achieve higher task completion levels than imitation learning baselines. This work explores the goal-oriented dialogue setting with reinforcement learning in a Fantasy Text Adventure Game and observes that the RL approaches outperform supervised learning models.","A new algorithm for artificial dialogue agents that can be trained to imitate human actions given a goal. This work introduces a cluster of AI models, which can be used to improve the quality of the textual descriptions of the world. The authors study the problem of artificial dialogue agent training with self-chat, and show that it is possible to use a set of AI Models as a baseline for comparing them to a RL model."
