target,BART Greedy,BART Sampling,T5 Greedy,T5 Sampling
"A new framework based variational inference for out-of-distribution detection Describes a probabilistic approach to quantifying uncertainty in DNN classification tasks that outperforms other SOTA methods in the task of out-of-distribution detection. A new framework for out-of-distribution detection, based on variaitonal inference and a prior Dirichlet distribution, that reports state of the art results on several datasets. An out-of distribution detection via a new method to approximate the confidence distribution of classification probability using variational inference of Dirichlet distribution.","A variational Dirichlet framework for deep neural network classification. This work introduces a new uncertainty metric for image classification that is more accurate than existing uncertainty measures. The study presents a new dataset-based uncertainty measure for deep learning, which can be used to detect out-of-distribution examples. The authors investigate the problem of over-concentration in deep neural networks in order to address the problem.","A variational Dirichlet framework for deep neural network classification. This paper proposes a new uncertainty metric that can be used to identify in-and out-of-distribution examples. The authors propose a variational approach to classify images from both out-domain and in-domain regions of the dataset. This study proposes a variative Dirichlett framework for image classification which is more accurate than existing uncertainty measures, and proposes a method to address this problem.","A variational Dirichlet algorithm for deep neural networks classification problem and define a higher-order uncertainty measure. This work presents a variational dirichlet framework for deep network classification problem, which can greatly widen the distance between in-and out-of-distribution data to achieve significant results on various datasets and architectures. The authors present a variable label-wise distribution generated from a lower-order distribution over the simplex S k",A variational Dirichlet framework for deep neural network classification problem and a higher-order uncertainty measure. This work introduces a variational dirichlet algorithm to improve the accuracy of in-and out-of-distribution datasets by introducing a variable label-wise distribution P(y) over the simplex S k. The paper considers the image classification problem with image classification as x and output label as y.
"Unsupervised methods for finding, analyzing, and controlling important neurons in NMT This paper presents unsupervised approaches to discovering important neurons in neural machine translation systems and analyzes linguistic properties controlled by those neurons. Unsupervised methods for ranking neurons in machine translation where important neurons are thus identified and used to control the MT output.","An unsupervised method for analyzing the contribution of individual neurons to language translation. This paper presents a novel translation control method for language translation that uses a combination of neural networks and a hierarchical model. The authors present a novel approach to interpret language translation using a hierarchical network architecture, and show that neural networks are more interpretable than non-linear models.","An unsupervised method for analyzing the contribution of individual neurons to NMT models. This paper proposes a novel approach to interpret language between pairs of trained NMTs, proposing a novel translation control method based on modifying the activation of the neurons in each pair of neural networks. The authors propose a novel method for learning languages from neural networks that is able to predict the identity of the current token by modifying its activation.",An unsupervised method for analyzing the contribution of individual neurons to NMT models. This work introduces a novel translation control technique that can be used to predict tokens inside/outside of parentheses by modifying the activation of the tense neurons from previous section TAB2. The authors present an unsupervised translation control approach for learning a combination of linguistically interpretable vectors and canonical correlation analysis (PCA) and SVCCA.,An unsupervised approach for analyzing the contribution of individual neurons to NMT models. This work introduces a novel translation control method for translating neural networks into a vector space using a combination of multiple vectors and canonical correlation analysis. The authors study the role of tense neurons in the translation of linguistically interpretable neural networks by modifying the activation of the active neurons from the previous section TAB2.
We provide a theoretical study of the properties of Deep circulant-diagonal ReLU Networks and demonstrate that they are bounded width universal approximators. The paper proposes using circulant and diagonal matrices to speed up computation and reduce memory requirements in eural networks. This work proves that bounded width diagonal-circulent ReLU networks (DC-ReLU) are universal approximators.,"A deep diagonal-circulant ReLU network that can be decomposed into 4k + 1 diagonal and circulant matrices. This work presents a new method for training deep neural networks that can approximate deep ReLU networks with low rank approximators. This article presents a method to train deep neural nets with high rank decomposition of the matrix A, which can be used to approximate deep RecLU networks.",A deep diagonal-circulant ReLU network that can be decomposed into products of diagonal and circulant matrices This paper proposes to replace the weight matrix of a fully connected layer with a new matrix. The article proposes a method for building deep ReLU networks by replacing the weight matrices of the original layer with more compact weights. This work proposes a new approach to decompose the matrix of an unconnected layer into a new product of diagonal/circular matrices,"Using a deep neural network architecture that approximates the Johson-Lindenstrauss transform by replacing large weight matrices from fully connected layers with more compact circulant layers. This study introduces a method to replace the weight matrix of a fully connected layer with a circulant layer, which can be used for dimensionality reduction.",A deep neural network architecture that can approximate a deep ReLU network in which the dense matrices are of low rank. This study studies the applicability of a Deep diagonal-circulant ReLU networks by showing that any matrix can be decomposed into products of bounded width and small depth is more useful than the one by Huhtanen & PerÇÏmÇÏki because it can be used to approximate the first one.
"The most robust capacity for analogical reasoning is induced when networks learn analogies by contrasting abstract relational structures in their input domains. The paper investigates the ability of a neural network to learn analogy, showing that a simple neural network is able to solve certain analogy problems This study describes an approach to train neural networks for analogical reasoning tasks, specifically considering visual analogy and symbolic analogies.","A novel neural network architecture that can learn to make analogies with visual and symbolic inputs, but only if they are contrasted with alternative incorrect answers that are plausible at the level of relations rather than simple perceptual attributes. This work presents a novel approach to analogical reasoning in neural networks by proposing a new training regime for neural networks that is more naturalistic than human-like.","A novel neural network architecture that learns to make analogies with visual and symbolic inputs. This paper proposes a new approach to learning to use visual analogy, which is based on the idea of associative reasoning. The authors propose an approach to solving visual analogy problems by using visual analogy as a method for generating representations of objects.","An analogy-like model that learns from random candidates is perceptually plausible, so that the problem can be solved trivially by matching the correct answer to one of the answers. This work studies the problem of contrasting abstract relational structures in neural network architectures using an analogy regime and a novel approach to interpolation. The authors present a model for neural network learning from random candidate answers which uses a link between the two domains.","A neural network that learns from contrasting abstract relational structures on an analogical problem by using an analogy-like model architecture. This study investigates the problem of semantically plausible relational representations in a neural network, and shows that it is more likely to be used to solve an ananalogical problems. The authors present a model for neural networks that learn from random candidates who choose incorrect answers from the same domain as the correct answer."
"We propose a deep Multi Instance Learning framework based on recurrent neural networks which uses pooling functions and attention mechanisms for the concept annotation tasks. The work addresses the classification of medical time-series data and proposes to model the temporal relationship between the instances in each series using a recurrent neural network architecture. Proposes a novel Multiple Instance Learning (MIL) formulation called Relation MIL (RMIL), and discussed a number of its variants with LSTM, Bi-LSTM, S2S, etc. and explores integrating RMIL with various attention mechanisms, and demonstrates its usage on medical concept prediction from time series data.",A novel concept annotation task for medical time series data. This work introduces a novel task of predicting and localizing medical concepts by modeling the medical time-series data as input. The study presents a novel method to predict and localize medical concepts based on a combination of machine learning and deep learning models.,"A novel concept annotation task for medical time series data. This paper proposes a novel method for predicting and localizing medical concepts by using medical time-series data as input. The authors propose a novel application of machine learning models to medical information that can be used to predict and localize medical concepts. This work introduces a novel approach to the problem of describing medical concepts based on medical context, with the goal of incorporating medical context into the framework.","A new concept annotation task for medical time series data that can be used to predict and localize medical concepts. This work introduces a new concept-annotation task which can be applied to the medical data by generating medical information from the data. The authors address the problem of concept annotation for medical data, namely, when the data are not available or when the annotations are available they could be subjective and prone to human errors.","An annotation task for medical time series data, i.e., to localize medical concepts. This work introduces the concept annotation task as the problem of predicting and localizing medical concepts by using the medical data as input. The authors present a method for generating medical information from medical data such as intubation, extubation and resuscitate."
"We demonstrate that by leveraging a multi-way output encoding, rather than the widely used one-hot encoding, we can make deep models more robust to adversarial attacks. This work proposes replacing the final cross-entropy layer trained on one-hot labels in classifiers by encoding each label as a high-dimensional vector and training the classifier to minimize L2 distance from the encoding of the correct class. Authors propose new method against adversarial attacks that shows significant amount of gains compared to baselines","A novel multi-way encoding method for binary classification that relaxes and improves the encoding dimensionality. This paper introduces a multi-direction encoding method to reduce the number of possible gradients in binary classification. The authors introduce a new encoding method, called 1of K, which reduces the likelihood of adversarial attacks on binary classification models by reducing the complexity of the encoding.","A novel multi-way encoding method for binary classification that relaxes the adversarial gradient search. This paper proposes a multi-direction encoding method to reduce the number of possible gradients in binary classification by relaxing and increasing the encoding dimensionality. The authors propose a new multi-dimensional encoding method, based on 1of K and RO encodings, which reduces the likelihood of adversarial attacks.","A multi-way encoding framework that obstructs the adversarial gradient search. This work introduces a new attack for a binary model watermarking algorithm, which trains a model to misclassify at the final encoder layer. The authors present a multi-directional attack for both the source and target models, and demonstrate the strength of the approach.","A deep encoding framework that obstructs the adversarial gradient search. This study introduces a multi-way attack for both the source and target models, and shows that it is more efficient than one-hot (1of K) attacks. This work presents a deep learning framework that can be used to determine the direction of an input from the input to the blue class, or vice versa."
"We introduce Spherical CNNs, a convolutional network for spherical signals, and apply it to 3D model recognition and molecular energy regression. The paper proposes a framework for constructing spherical convolutional networks based on a novel synthesis of several existing concepts This article focuses on how to extend convolutional neural networks to have built-in spherical invariance, and adapts tools from non-Abelian harmonic analysis to achieve this goal. The authors develop a novel scheme for representing spherical data from the ground up","A spherical CNN that can detect patterns regardless of how they are rotated over the sphere. This article presents a new CNN for spherical signals that is equivariant to the rotation invariant properties of the sphere, and shows that it is more efficient than other CNNs. This work introduces a new class of CNNs, called spherical CNNs (S 2-CNNs), that can be used to detect patterns on the sphere and vice versa.","A spherical CNN that can detect patterns regardless of how they are rotated over the sphere. This paper proposes a method for detecting patterns on the sphere, which is equivariant to the rotation invariant properties of spherical CNNs. The article proposes a new network architecture based on the spherical correlation and describes it as an extension of the Wigner D-functions.","A spherical CNN that can detect patterns regardless of how they are rotated over the sphere. This work introduces a new group correlation function on the Sphere, which acts naturally on the input space of the network. The paper presents a method for detecting patterns in a three-dimensional manifold called SO(3) 2 and provides a simple definition of the SenseCNN (S2 -CNN).","A spherical CNN that can detect patterns regardless of how they are rotated over the sphere. This work introduces a new neural network to detect patterns in a three-dimensional manifold called SO(3) 2. The authors present a method for detecting patterns in the space of moves for the plane, and show that it is possible to find patterns on the plane with a 3D translation."
"Relational Forward Models for multi-agent learning make accurate predictions of agents' future behavior, they produce intepretable representations and can be used inside agents. A way of reducing variance in model free learning by having an explicit model, that uses a graph conv net-like architecture, of actions that other agents will take. Predicting multi-agent behavior using a relational forward model with a recurrent component, outperforming two baselines and two ablations","A deep reinforcement learning framework for understanding the dynamics of multi-agent systems. This work presents a novel approach to understanding the behavior of agents in multi-player games. The authors present an RFM module that learns to predict the actions of each agent in a game, and provide insights into the relational and social structures of the agents.","A deep reinforcement learning framework for understanding the dynamics of multi-agent systems. This paper proposes a novel RFM model that learns to predict the actions of each agent given the state of the environment. The authors propose an RFM framework for predicting the behavior of agents, and provide insights into how agents interact with each other in real-world settings.","A new model for multi-agent learning that predicts the forward dynamics of agents' systems, and provides insights into the relational and social structures present in the data. This work introduces a new algorithm to learn how agents interact with each other on a single agent basis, and presents a novel method for modeling agents' behavior as well as an analysis tool for characterizing their actions.","A deep learning model for multi-agent systems with a rich and orderly structure that can be leveraged to understand these systems, and to improve how artificial agents learn to operate in them. This study introduces a deep learning framework for multiagent system modeling behavior of multiple agents, and uses it to predict the forward dynamics of each agent's system. The authors present an analysis tool for characterizing interactions between different agents"
"We introduce a transparent middleware for neural network acceleration, with own compiler engine, achieving up to 11.8x speed up on CPUs and 2.3x on GPUs. This article proposes a transparent middleware layer for neural network acceleration and obtains some acceleration results on basic CPU and GPU architectures",Introduces a transparent middleware layer for neural network acceleration. This article introduces a new framework for deep neural networks acceleration that combines hardware-specific optimizations with deep learning frameworks. This work addresses the problem of optimizing neural networks on multiple hardware platforms by combining hardware and deep learning libraries. The authors introduce a new middleware framework for the optimization of both prediction and training of neural networks. This paper presents a method for optimizing neural network architectures on several hardware platforms,"Introduces a transparent middleware layer for neural network acceleration. This article introduces a new framework for deep learning that combines hardware-specific optimizations with deep learning frameworks. The authors propose a method to accelerate neural networks by combining hardware and deep learning libraries in order to speed up inference and training. This work proposes a new architecture for the optimization of neural networks, which can be easily integrated into existing frameworks.","This article introduces a transparent middleware layer for neural network acceleration, allowing one to combine device-specific libraries and custom optimizations while supporting numerous hardware devices. The authors address the problem of inference and inference in deep neural networks by using a compiler for deep learning that is transparent to the user and should support all hardware platforms and deep learning libraries.","This paper introduces a transparent middleware layer for neural network acceleration, allowing one to combine device-specific libraries and custom optimizations while supporting numerous hardware platforms. The authors address the problem of inference and inference in deep neural networks by using a compiler for deep learning frameworks, and show that it is transparent to the user and should support all hardware platforms and deep learning libraries."
"Agents interact (speak, act) and can achieve goals in a rich world with diverse language, bridging the gap between chit-chat and goal-oriented dialogue. This article studies a multiagent dialog task in which the learning agent aims to generate natural language actions that elicit a particular action from the other agent, and shows RL-agents can achieve higher task completion levels than imitation learning baselines. This work explores the goal-oriented dialogue setting with reinforcement learning in a Fantasy Text Adventure Game and observes that the RL approaches outperform supervised learning models.","Real-time dialogue agents are trained to imitate human actions given a goal (a ""goal-oriented"" model). This work presents a novel approach to solving the problem of language drift in video game dialogue by using a large transformer architecture. The authors present a novel model of dialogue agents that can be used to learn to communicate with other agents in a multi-player setting.","Real-time dialogue agents are trained to imitate human actions given a goal (an ""inverse model"") This paper proposes a novel approach to improving the quality of real-time dialog in video games. The authors propose a new approach to dialogue, where an agent is tasked with answering questions given by a user, and then learns to use that information to solve a task.","In the literature on artificial dialogue agents, a distinction is often made between ""goal-oriented"" dialogue, where an agent is tasked with filling slots or otherwise obtaining or disseminating specified information from the user to help complete a task, and ""chit-chat"". The authors present a cluster of human-written game actions that are trained to imitate human actions given a goal (an ""inverse model"")","A new algorithm for artificial dialogue agents that can be trained to imitate human actions given a goal. This work introduces a cluster of AI models, which can be used to improve the quality of the textual descriptions of the world. The authors study the problem of artificial dialogue agent training with self-chat, and show that it is possible to use a set of AI Models as a baseline for comparing them to a RL model."
